Action👇 git_branch_name 👉	main	feature	fix	doc	app	release	cleanup
🐍 Create Virtualenv	✅	✅	✅	✅	✅	✅	✅
💾 Install Dependencies	✅	✅	✅	✅	✅	✅	✅
🚀 ⚙️ Deploy Config	✅	✅	✅	✅	✅	✅	✅
🧪 Run Code Coverage Test	✅	✅	✅	✅	✅	✅	❌
📔 Publish Documentation Website	✅	❌	❌	✅	❌	❌	❌
🚀 Deploy CDK Stack	✅	❌	❌	❌	✅	✅	❌
🧪 Run Integration Test	✅	❌	❌	❌	✅	✅	❌
⚙️ 🪣 Create Config Snapshot	❌	❌	❌	❌	❌	✅	❌
🏷️ Create Git Tag	❌	❌	❌	❌	❌	✅	❌
🗑 📦 Delete CDK Stack in sbx	❌	❌	❌	❌	❌	❌	✅
🗑 🧪 Delete CDK Stack in tst	❌	❌	❌	❌	❌	❌	✅
🗑 🎸 Delete CDK Stack in stg	❌	❌	❌	❌	❌	❌	✅
🗑 🏭 Delete CDK Stack in prd	❌	❌	❌	❌	❌	❌	✅
🗑 ⚙️ Delete Config	✅	❌	❌	❌	❌	✅	✅
